country,category,indicator,response,category_id,indicator_id
Angola,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),No,6,21
Angola,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,Yes,6,22
Angola,Virological surveillance,Does the laboratory participate in the External Quality Assurance Panel (EQAP)?,Yes,6,23
Angola,Virological surveillance,RT-PCR,No,6,24
Angola,Virological surveillance,Virus Isolation capacity,No,6,25
Angola,Virological surveillance,Antiviral susceptibility testing capability,No,6,65
Angola,Virological surveillance,Sequencing capacity,Yes,6,66
Angola,Virological surveillance,Does the country forward samples to a WHO CC?,No,6,28
Angola,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,No,8,34
Angola,Data reporting & use,Does the country report to the FluID?,No,8,31
Angola,Data reporting & use,Reporting consistency (2023-2024),0.28,8,61
Angola,Data reporting & use,Does the country report to the FluNet?,Yes,8,33
Angola,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,No,8,35
Angola,Data reporting & use,Has the country performed a burden of disease analysis?,No,8,36
Angola,Data reporting & use,What year was it performed?,No,8,37
Angola,Data reporting & use,What was the estimated burden?,No,8,38
Angola,Data reporting & use,Was it published? If yes provide link,No,8,39
Angola,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,No,9,40
Angola,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,No response,9,41
Angola,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,No response,9,42
Angola,Vaccination,What are the recommended risk groups for influenza vaccine?,No response,9,43
Angola,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,No response,9,44
Angola,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,Yes,10,45
Angola,Pandemic preparedness and response,Year plan Last updated,2023,10,46
Angola,Pandemic preparedness and response,Influenza specific,No,10,48
Angola,Pandemic preparedness and response,COVID-19 specific,No,10,49
Angola,Pandemic preparedness and response,All Hazards,No,10,50
Angola,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,No,10,51
Angola,Pandemic preparedness and response,Year simulation conducted,No,10,52
Angola,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,No,10,53
Angola,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,Yes,11,54
Angola,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,Yes,11,26
Angola,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,Yes,12,56
Angola,Zoonotic Influenza surveillance,Has the country performed joint risk assessment?,No,12,57
Angola,Zoonotic Influenza surveillance,"If yes, when",No,12,58
Benin,Population and Economy,Population,14111034,1,1
Benin,Population and Economy,Total Health Expenditure,2.58,1,2
Benin,Population and Economy,Life expectancy,60,1,3
Benin,Mortality per 100 000 population,All cause/all ages,1078,2,4
Benin,Mortality per 1000 live births,All cause/under 5 years,80.8,3,5
Benin,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,No,4,6
Benin,Influenza like Illness (ILI) Surveillance,Surveillance case definition used for ILI case ascertainment.,No response,4,7
Benin,Influenza like Illness (ILI) Surveillance,Is laboratory confirmation sought for ILI sentinel surveillance,No response,4,8
Benin,Influenza like Illness (ILI) Surveillance,Numbers of ILI sentinel surveillance sites,No response,4,9
Benin,Severe acute respiratory infection (SARI) surveillance,Type of SARI surveillance,No,5,10
Benin,Severe acute respiratory infection (SARI) surveillance,Sentinel sites involved in SARI surveillance.,No response,5,11
Benin,Severe acute respiratory infection (SARI) surveillance,Surveillance case definition used for SARI case ascertainment.,No response,5,12
Benin,Severe acute respiratory infection (SARI) surveillance,Is laboratory confirmation sought for SARI sentinel surveillance,No response,5,13
Benin,Severe acute respiratory infection (SARI) surveillance,Number of SARI sentinel surveillance sites,No response,5,14
Benin,Severe acute respiratory infection (SARI) surveillance,Is there timely all-cause mortality data available in the country?,No response,5,15
Benin,Virological surveillance,Does the National Influenza reference laboratory have:,No,6,64
Benin,Virological surveillance,Type of virological surveillance,No response,6,16
Benin,Virological surveillance,Average number of virological samples processed per week (2024),No response,6,32
Benin,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Benin,Virological surveillance,Does the country have genomic sequencing capacity?,Yes,6,19
Benin,Virological surveillance,Does the country test for other respiratory viruses?,Yes,6,20
Benin,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),No,6,21
Benin,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,No,6,22
Benin,Virological surveillance,Does the laboratory participate in the External Quality Assurance Panel (EQAP)?,No,6,23
Benin,Virological surveillance,RT-PCR,No,6,24
Benin,Virological surveillance,Virus Isolation capacity,N/A,6,25
Benin,Virological surveillance,Antiviral susceptibility testing capability,N/A,6,65
Benin,Virological surveillance,Sequencing capacity,N/A,6,66
Benin,Virological surveillance,Does the country forward samples to a WHO CC?,N/A,6,28
Benin,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,No,8,34
Benin,Data reporting & use,Does the country report to the FluID?,No,8,31
Benin,Data reporting & use,Reporting consistency (2023-2024),N/A,8,61
Benin,Data reporting & use,Does the country report to the FluNet?,No,8,33
Benin,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,No,8,35
Benin,Data reporting & use,Has the country performed a burden of disease analysis?,No,8,36
Benin,Data reporting & use,What year was it performed?,No,8,37
Benin,Data reporting & use,What was the estimated burden?,No,8,38
Benin,Data reporting & use,Was it published? If yes provide link,No,8,39
Benin,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,No,9,40
Benin,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,No response,9,41
Benin,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,No response,9,42
Benin,Vaccination,What are the recommended risk groups for influenza vaccine?,No response,9,43
Benin,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,No response,9,44
Benin,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,No,10,45
Benin,Pandemic preparedness and response,Year plan Last updated,No,10,46
Benin,Pandemic preparedness and response,Does the country have another pandemic preparedness plan available?,No,10,47
Benin,Pandemic preparedness and response,Influenza specific,No response,10,48
Benin,Pandemic preparedness and response,COVID-19 specific,No response,10,49
Benin,Pandemic preparedness and response,All Hazards,No response,10,50
Benin,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,No response,10,51
Benin,Pandemic preparedness and response,Year simulation conducted,N/A,10,52
Benin,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,No,10,53
Benin,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,No,11,54
Benin,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,No,11,26
Benin,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,Yes,12,56
Benin,Zoonotic Influenza surveillance,Has the country performed joint risk assessment?,No,12,57
Benin,Zoonotic Influenza surveillance,"If yes, when",No,12,58
Benin,Zoonotic Influenza surveillance,"Has the country held an IHR (International Health
Regulations) / PVS (Performance of Veterinary Services) national bridging workshop for influenza?",Yes,12,17
Botswana,Population and Economy,Population,2480244,1,1
Botswana,Population and Economy,Total Health Expenditure,6.31,1,2
Botswana,Population and Economy,Life expectancy,66,1,3
Botswana,Mortality per 100 000 population,All cause/all ages,1499.1,2,4
Botswana,Mortality per 1000 live births,All cause/under 5 years,38.7,3,5
Botswana,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,No,4,6
Botswana,Influenza like Illness (ILI) Surveillance,Surveillance case definition used for ILI case ascertainment.,No response,4,7
Botswana,Influenza like Illness (ILI) Surveillance,Is laboratory confirmation sought for ILI sentinel surveillance,No response,4,8
Botswana,Influenza like Illness (ILI) Surveillance,Numbers of ILI sentinel surveillance sites,No response,4,9
Botswana,Severe acute respiratory infection (SARI) surveillance,Type of SARI surveillance,No,5,10
Botswana,Severe acute respiratory infection (SARI) surveillance,Sentinel sites involved in SARI surveillance.,No response,5,11
Botswana,Severe acute respiratory infection (SARI) surveillance,Surveillance case definition used for SARI case ascertainment.,No response,5,12
Botswana,Severe acute respiratory infection (SARI) surveillance,Is laboratory confirmation sought for SARI sentinel surveillance,No response,5,13
Botswana,Severe acute respiratory infection (SARI) surveillance,Number of SARI sentinel surveillance sites,No response,5,14
Botswana,Severe acute respiratory infection (SARI) surveillance,Is there timely all-cause mortality data available in the country?,Yes,5,15
Botswana,Virological surveillance,Type of virological surveillance,None,6,16
Botswana,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Botswana,Virological surveillance,Does the country have genomic sequencing capacity?,Yes,6,19
Botswana,Virological surveillance,Does the country test for other respiratory viruses?,No response,6,20
Botswana,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),No,6,21
Botswana,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,No,6,22
Botswana,Virological surveillance,RT-PCR,No response,6,24
Botswana,Virological surveillance,Virus Isolation capacity,No response,6,25
Botswana,Virological surveillance,Antiviral susceptibility testing capability,No response,6,65
Botswana,Virological surveillance,Does the country forward samples to a WHO CC?,No response,6,28
Botswana,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,No,8,34
Botswana,Data reporting & use,Does the country report to the FluID?,No,8,31
Botswana,Data reporting & use,Does the country report to the FluNet?,No,8,33
Botswana,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,No,8,35
Botswana,Data reporting & use,Has the country performed a burden of disease analysis?,No,8,36
Botswana,Data reporting & use,What year was it performed?,No,8,37
Botswana,Data reporting & use,What was the estimated burden?,No,8,38
Botswana,Data reporting & use,Was it published? If yes provide link,No,8,39
Botswana,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,No,9,40
Botswana,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,No response,9,41
Botswana,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,No response,9,42
Botswana,Vaccination,What are the recommended risk groups for influenza vaccine?,No,9,43
Botswana,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,No,9,44
Botswana,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,Yes,10,45
Botswana,Pandemic preparedness and response,Year plan Last updated,Draft (2024),10,46
Botswana,Pandemic preparedness and response,Does the country have another pandemic preparedness plan available?,No response,10,47
Botswana,Pandemic preparedness and response,Influenza specific,No response,10,48
Botswana,Pandemic preparedness and response,COVID-19 specific,No response,10,49
Botswana,Pandemic preparedness and response,All Hazards,No response,10,50
Botswana,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,None,10,51
Botswana,Pandemic preparedness and response,Year simulation conducted,None,10,52
Botswana,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,None,10,53
Botswana,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,No response,11,54
Botswana,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,No response,11,26
Botswana,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,In progress,12,56
Botswana,Zoonotic Influenza surveillance,Has the country performed joint risk assessment?,No,12,57
Botswana,Zoonotic Influenza surveillance,"If yes, when",N/A,12,58
Botswana,Zoonotic Influenza surveillance,"Has the country held an IHR (International Health
Regulations) / PVS (Performance of Veterinary Services) national bridging workshop for influenza?",No,12,17
Burkina Faso,Population and Economy,Population,23025776,1,1
Burkina Faso,Population and Economy,Total Health Expenditure,6.38,1,2
Burkina Faso,Population and Economy,Life expectancy,60,1,3
Burkina Faso,Mortality per 100 000 population,All cause/all ages,1219.4,2,4
Burkina Faso,Mortality per 1000 live births,All cause/under 5 years,78.8,3,5
Burkina Faso,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,Sentinel,4,6
Burkina Faso,Influenza like Illness (ILI) Surveillance,Surveillance case definition used for ILI case ascertainment.,WHO 2014,4,7
Burkina Faso,Influenza like Illness (ILI) Surveillance,Is laboratory confirmation sought for ILI sentinel surveillance,Yes,4,8
Burkina Faso,Influenza like Illness (ILI) Surveillance,Numbers of ILI sentinel surveillance sites,3,4,9
Burkina Faso,Severe acute respiratory infection (SARI) surveillance,Type of SARI surveillance,Sentinel,5,10
Burkina Faso,Severe acute respiratory infection (SARI) surveillance,Sentinel sites involved in SARI surveillance.,Hospital,5,11
Burkina Faso,Severe acute respiratory infection (SARI) surveillance,Surveillance case definition used for SARI case ascertainment.,WHO 2014,5,12
Burkina Faso,Severe acute respiratory infection (SARI) surveillance,Is laboratory confirmation sought for SARI sentinel surveillance,Yes,5,13
Burkina Faso,Severe acute respiratory infection (SARI) surveillance,Number of SARI sentinel surveillance sites,5,5,14
Burkina Faso,Severe acute respiratory infection (SARI) surveillance,Is there timely all-cause mortality data available in the country?,Yes,5,15
Burkina Faso,Virological surveillance,Type of virological surveillance,Sentinel,6,16
Burkina Faso,Virological surveillance,Average number of virological samples processed per week (2024),52,6,32
Burkina Faso,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Burkina Faso,Virological surveillance,Does the country have genomic sequencing capacity?,Yes,6,19
Burkina Faso,Virological surveillance,Does the country test for other respiratory viruses?,Yes,6,20
Burkina Faso,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),No,6,21
Burkina Faso,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,No,6,22
Burkina Faso,Virological surveillance,Does the laboratory participate in the External Quality Assurance Panel (EQAP)?,Yes,6,23
Burkina Faso,Virological surveillance,RT-PCR,Yes,6,24
Burkina Faso,Virological surveillance,Virus Isolation capacity,No,6,25
Burkina Faso,Virological surveillance,Antiviral susceptibility testing capability,No,6,65
Burkina Faso,Virological surveillance,Sequencing capacity,Yes,6,66
Burkina Faso,Virological surveillance,Does the country forward samples to a WHO CC?,Yes,6,28
Burkina Faso,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,Yes,8,34
Burkina Faso,Data reporting & use,Does the country report to the FluID?,Yes,8,31
Burkina Faso,Data reporting & use,Reporting consistency (2023-2024),1,8,61
Burkina Faso,Data reporting & use,Does the country report to the FluNet?,Yes,8,33
Burkina Faso,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,No,8,35
Burkina Faso,Data reporting & use,Has the country performed a burden of disease analysis?,In progress,8,36
Burkina Faso,Data reporting & use,What year was it performed?,N/A,8,37
Burkina Faso,Data reporting & use,What was the estimated burden?,In progress,8,38
Burkina Faso,Data reporting & use,Was it published? If yes provide link,In progress,8,39
Burkina Faso,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,No,9,40
Burkina Faso,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,No response,9,41
Burkina Faso,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,No response,9,42
Burkina Faso,Vaccination,What are the recommended risk groups for influenza vaccine?,No response,9,43
Burkina Faso,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,No response,9,44
Burkina Faso,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,Yes,10,45
Burkina Faso,Pandemic preparedness and response,Year plan Last updated,2023,10,46
Burkina Faso,Pandemic preparedness and response,Does the country have another pandemic preparedness plan available?,No,10,47
Burkina Faso,Pandemic preparedness and response,Influenza specific,No response,10,48
Burkina Faso,Pandemic preparedness and response,COVID-19 specific,No response,10,49
Burkina Faso,Pandemic preparedness and response,All Hazards,No response,10,50
Burkina Faso,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,No,10,51
Burkina Faso,Pandemic preparedness and response,Year simulation conducted,N/A,10,52
Burkina Faso,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,No,10,53
Burkina Faso,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,Yes,11,54
Burkina Faso,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,Yes,11,26
Burkina Faso,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,Yes,12,56
Burkina Faso,Zoonotic Influenza surveillance,Has the country performed joint risk assessment?,Yes,12,57
Burkina Faso,Zoonotic Influenza surveillance,"If yes, when",2022,12,58
Burkina Faso,Zoonotic Influenza surveillance,"Has the country held an IHR (International Health
Regulations) / PVS (Performance of Veterinary Services) national bridging workshop for influenza?",In progress,12,17
Burundi,Population and Economy,Population,13689450,1,1
Burundi,Population and Economy,Total Health Expenditure,9.1,1,2
Burundi,Population and Economy,Life expectancy,62,1,3
Burundi,Mortality per 100 000 population,All cause/all ages,1183.7,2,4
Burundi,Mortality per 1000 live births,All cause/under 5 years,50.5,3,5
Burundi,Influenza like Illness (ILI) Surveillance,Type of ILI surveillance,No,4,6
Burundi,Influenza like Illness (ILI) Surveillance,Surveillance case definition used for ILI case ascertainment.,No response,4,7
Burundi,Influenza like Illness (ILI) Surveillance,Is laboratory confirmation sought for ILI sentinel surveillance,No response,4,8
Burundi,Influenza like Illness (ILI) Surveillance,Numbers of ILI sentinel surveillance sites,No response,4,9
Burundi,Severe acute respiratory infection (SARI) surveillance,Type of SARI surveillance,No,5,10
Burundi,Severe acute respiratory infection (SARI) surveillance,Sentinel sites involved in SARI surveillance.,No response,5,11
Burundi,Severe acute respiratory infection (SARI) surveillance,Surveillance case definition used for SARI case ascertainment.,No response,5,12
Burundi,Severe acute respiratory infection (SARI) surveillance,Is laboratory confirmation sought for SARI sentinel surveillance,No response,5,13
Burundi,Severe acute respiratory infection (SARI) surveillance,Number of SARI sentinel surveillance sites,No response,5,14
Burundi,Severe acute respiratory infection (SARI) surveillance,Is there timely all-cause mortality data available in the country?,Yes,5,15
Burundi,Virological surveillance,Type of virological surveillance,N/A,6,16
Burundi,Virological surveillance,Does the country have RT-PCR capacity?,Yes,6,18
Burundi,Virological surveillance,Does the country have genomic sequencing capacity?,Yes,6,19
Burundi,Virological surveillance,Does the country test for other respiratory viruses?,No response,6,20
Burundi,Virological surveillance,Does the country have a designated National Influenza Centre (NIC),No,6,21
Burundi,Virological surveillance,Does the country have a designated National Influenza reference laboratory?,No,6,22
Burundi,Virological surveillance,Does the laboratory participate in the External Quality Assurance Panel (EQAP)?,Yes,6,23
Burundi,Virological surveillance,RT-PCR,Yes,6,24
Burundi,Virological surveillance,Virus Isolation capacity,No,6,25
Burundi,Virological surveillance,Antiviral susceptibility testing capability,No,6,65
Burundi,Virological surveillance,Sequencing capacity,Yes,6,66
Burundi,Virological surveillance,Does the country forward samples to a WHO CC?,No,6,28
Burundi,Data reporting & use,Are epidemiological and virological sentinel surveillance datasets integrated?,No,8,34
Burundi,Data reporting & use,Does the country report to the FluID?,No,8,31
Burundi,Data reporting & use,Reporting consistency (2023-2024),No,8,61
Burundi,Data reporting & use,Does the country report to the FluNet?,No,8,33
Burundi,Data reporting & use,Does the country use the PISA tool to assess the severity of seasonal influenza?,No,8,35
Burundi,Data reporting & use,Has the country performed a burden of disease analysis?,No,8,36
Burundi,Data reporting & use,What year was it performed?,No,8,37
Burundi,Data reporting & use,What was the estimated burden?,No,8,38
Burundi,Data reporting & use,Was it published? If yes provide link,No,8,39
Burundi,Vaccination,Does the country have a formal seasonal influenza vaccination policy?,Yes,9,40
Burundi,Vaccination,Has seasonal influenza vaccine been introduced in the public sector? Year introduced;,Yes,9,41
Burundi,Vaccination,Has seasonal influenza vaccine been introduced in the private sector?,Yes,9,42
Burundi,Vaccination,What are the recommended risk groups for influenza vaccine?,Children under 5 years,9,43
Burundi,Vaccination,Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?,Southern Hemisphere,9,44
Burundi,Pandemic preparedness and response,Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?,No,10,45
Burundi,Pandemic preparedness and response,Year plan Last updated,No response,10,46
Burundi,Pandemic preparedness and response,Does the country have another pandemic preparedness plan available?,No response,10,47
Burundi,Pandemic preparedness and response,Influenza specific,No response,10,48
Burundi,Pandemic preparedness and response,COVID-19 specific,No response,10,49
Burundi,Pandemic preparedness and response,All Hazards,No response,10,50
Burundi,Pandemic preparedness and response,Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?,No,10,51
Burundi,Pandemic preparedness and response,Year simulation conducted,No,10,52
Burundi,Pandemic preparedness and response,Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine,No,10,53
Burundi,Integration of Influenza surveillance and SARS-CoV-2,Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?,No,11,54
Burundi,Integration of Influenza surveillance and SARS-CoV-2,Does the country report SARS-CoV-2 results to the Flu Net?,No,11,26
Burundi,Zoonotic Influenza surveillance,Does the country perform surveillance activities at the human-animal interface?,No,12,56
