"country","category","indicator","response"
"Angola","Virological surveillance","Does the country have a designated National Influenza Centre (NIC)","No"
"Angola","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","Yes"
"Angola","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Angola","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Angola","Virological surveillance","Does the country test for other respiratory viruses?","Yes"
"Angola","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","Yes"
"Angola","Virological surveillance","Does the National Influenza reference laboratory have:","No"
"Angola","Virological surveillance","RT-PCR","No"
"Angola","Virological surveillance","Sequencing capacity","Yes"
"Angola","Virological surveillance","Type of virological surveillance","Sentinel"
"Angola","Virological surveillance","Virus Isolation capacity","No"
"Angola","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","No"
"Angola","Data reporting & use","Does the country report to the FluID?","No"
"Angola","Data reporting & use","Does the country report to the FluNet?","Yes"
"Angola","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","No"
"Angola","Data reporting & use","Has the country performed a burden of disease analysis?","No"
"Angola","Data reporting & use","Reporting consistency (2023-2024)","0.28"
"Angola","Data reporting & use","Was it published? If yes provide link","No"
"Angola","Data reporting & use","What was the estimated burden?","No"
"Angola","Data reporting & use","What year was it performed?","No"
"Angola","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","No"
"Angola","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","No response"
"Angola","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","No response"
"Angola","Vaccination","What are the recommended risk groups for influenza vaccine?","No response"
"Angola","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","No response"
"Angola","Pandemic preparedness and response","All Hazardzs","No"
"Angola","Pandemic preparedness and response","COVID-19 specific","No"
"Angola","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","No"
"Angola","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","Yes"
"Angola","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Angola","Pandemic preparedness and response","Influenza specific","No"
"Angola","Pandemic preparedness and response","Year plan Last updated","2023"
"Angola","Pandemic preparedness and response","Year simulation conducted","No"
"Angola","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","Yes"
"Angola","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","Yes"
"Angola","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","Yes"
"Angola","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","No"
"Angola","Zoonotic Influenza surveillance","If yes, when","No"
"Benin","Population and Economy","Life expectancy","60"
"Benin","Population and Economy","Population","14111034"
"Benin","Population and Economy","Total Health Expenditure","2.58"
"Benin","Mortality per 100 000 population","All cause/all ages","1078"
"Benin","Mortality per 1000 live births","All cause/under 5 years","80.8"
"Benin","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","No response"
"Benin","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","No response"
"Benin","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","No response"
"Benin","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","No"
"Benin","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","No response"
"Benin","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","No response"
"Benin","Severe acute respiratory infection (SARI) surveillance","Number of SARI sentinel surveillance sites","No response"
"Benin","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","No response"
"Benin","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","No response"
"Benin","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","No"
"Benin","Virological surveillance","Antiviral susceptibility testing capability","N/A"
"Benin","Virological surveillance","Average number of virological samples processed per week (2024)","No response"
"Benin","Virological surveillance","Does the country forward samples to a WHO CC?","N/A"
"Benin","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","No"
"Benin","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","No"
"Benin","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Benin","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Benin","Virological surveillance","Does the country test for other respiratory viruses?","Yes"
"Benin","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","No"
"Benin","Virological surveillance","Does the National Influenza reference laboratory have:","No"
"Benin","Virological surveillance","RT-PCR","No"
"Benin","Virological surveillance","Sequencing capacity","N/A"
"Benin","Virological surveillance","Type of virological surveillance","No response"
"Benin","Virological surveillance","Virus Isolation capacity","N/A"
"Benin","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","No"
"Benin","Data reporting & use","Does the country report to the FluID?","No"
"Benin","Data reporting & use","Does the country report to the FluNet?","No"
"Benin","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","No"
"Benin","Data reporting & use","Has the country performed a burden of disease analysis?","No"
"Benin","Data reporting & use","Reporting consistency (2023-2024)","N/A"
"Benin","Data reporting & use","Was it published? If yes provide link","No"
"Benin","Data reporting & use","What was the estimated burden?","No"
"Benin","Data reporting & use","What year was it performed?","No"
"Benin","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","No"
"Benin","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","No response"
"Benin","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","No response"
"Benin","Vaccination","What are the recommended risk groups for influenza vaccine?","No response"
"Benin","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","No response"
"Benin","Pandemic preparedness and response","All Hazardzs","No response"
"Benin","Pandemic preparedness and response","COVID-19 specific","No response"
"Benin","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","No"
"Benin","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","No"
"Benin","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","No"
"Benin","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No response"
"Benin","Pandemic preparedness and response","Influenza specific","No response"
"Benin","Pandemic preparedness and response","Year plan Last updated","No"
"Benin","Pandemic preparedness and response","Year simulation conducted","N/A"
"Benin","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","No"
"Benin","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","No"
"Benin","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","Yes"
"Benin","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","Yes"
"Benin","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","No"
"Benin","Zoonotic Influenza surveillance","If yes, when","No"
"Botswana","Population and Economy","Life expectancy","66"
"Botswana","Population and Economy","Population","2480244"
"Botswana","Population and Economy","Total Health Expenditure","6.31"
"Botswana","Mortality per 100 000 population","All cause/all ages","1499.1"
"Botswana","Mortality per 1000 live births","All cause/under 5 years","38.7"
"Botswana","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","No response"
"Botswana","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","No response"
"Botswana","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","No response"
"Botswana","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","No"
"Botswana","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","No response"
"Botswana","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","Yes"
"Botswana","Severe acute respiratory infection (SARI) surveillance","Number of SARI sentinel surveillance sites","No response"
"Botswana","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","No response"
"Botswana","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","No response"
"Botswana","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","No"
"Botswana","Virological surveillance","Antiviral susceptibility testing capability","No response"
"Botswana","Virological surveillance","Does the country forward samples to a WHO CC?","No response"
"Botswana","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","No"
"Botswana","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","No"
"Botswana","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","No"
"Botswana","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Botswana","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Botswana","Virological surveillance","Does the country test for other respiratory viruses?","No response"
"Botswana","Virological surveillance","RT-PCR","No response"
"Botswana","Virological surveillance","Type of virological surveillance","None"
"Botswana","Virological surveillance","Virus Isolation capacity","No response"
"Botswana","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","No"
"Botswana","Data reporting & use","Does the country report to the FluID?","No"
"Botswana","Data reporting & use","Does the country report to the FluNet?","No"
"Botswana","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","No"
"Botswana","Data reporting & use","Has the country performed a burden of disease analysis?","No"
"Botswana","Data reporting & use","Was it published? If yes provide link","No"
"Botswana","Data reporting & use","What was the estimated burden?","No"
"Botswana","Data reporting & use","What year was it performed?","No"
"Botswana","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","No"
"Botswana","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","No response"
"Botswana","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","No response"
"Botswana","Vaccination","What are the recommended risk groups for influenza vaccine?","No"
"Botswana","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","No"
"Botswana","Pandemic preparedness and response","All Hazardzs","No response"
"Botswana","Pandemic preparedness and response","COVID-19 specific","No response"
"Botswana","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","No response"
"Botswana","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","None"
"Botswana","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","Yes"
"Botswana","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","None"
"Botswana","Pandemic preparedness and response","Influenza specific","No response"
"Botswana","Pandemic preparedness and response","Year plan Last updated","Draft (2024)"
"Botswana","Pandemic preparedness and response","Year simulation conducted","None"
"Botswana","Integration of Influenza surveillance and SARS-CoV-2","Does the country report influenza/SARS-CoV-2 co-infections to the Flu Net?","No response"
"Botswana","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","No response"
"Botswana","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","No response"
"Botswana","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","In progress"
"Botswana","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","No"
"Botswana","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","No"
"Botswana","Zoonotic Influenza surveillance","If yes, when","N/A"
"Burkina Faso","Population and Economy","Life expectancy","60"
"Burkina Faso","Population and Economy","Population","23025776"
"Burkina Faso","Population and Economy","Total Health Expenditure","6.38"
"Burkina Faso","Mortality per 100 000 population","All cause/all ages","1219.4"
"Burkina Faso","Mortality per 1000 live births","All cause/under 5 years","78.8"
"Burkina Faso","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","Yes"
"Burkina Faso","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","3"
"Burkina Faso","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","WHO 2014"
"Burkina Faso","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","Sentinel"
"Burkina Faso","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","Yes"
"Burkina Faso","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","Yes"
"Burkina Faso","Severe acute respiratory infection (SARI) surveillance","Number of SARI sentinel surveillance sites","5"
"Burkina Faso","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","Hospital"
"Burkina Faso","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","WHO 2014"
"Burkina Faso","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","Sentinel"
"Burkina Faso","Virological surveillance","Antiviral susceptibility testing capability","No"
"Burkina Faso","Virological surveillance","Average number of virological samples processed per week (2024)","52"
"Burkina Faso","Virological surveillance","Does the country forward samples to a WHO CC?","Yes"
"Burkina Faso","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","No"
"Burkina Faso","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","No"
"Burkina Faso","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Burkina Faso","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Burkina Faso","Virological surveillance","Does the country test for other respiratory viruses?","Yes"
"Burkina Faso","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","Yes"
"Burkina Faso","Virological surveillance","RT-PCR","Yes"
"Burkina Faso","Virological surveillance","Sequencing capacity","Yes"
"Burkina Faso","Virological surveillance","Type of virological surveillance","Sentinel"
"Burkina Faso","Virological surveillance","Virus Isolation capacity","No"
"Burkina Faso","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","Yes"
"Burkina Faso","Data reporting & use","Does the country report to the FluID?","Yes"
"Burkina Faso","Data reporting & use","Does the country report to the FluNet?","Yes"
"Burkina Faso","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","No"
"Burkina Faso","Data reporting & use","Has the country performed a burden of disease analysis?","In progress"
"Burkina Faso","Data reporting & use","Reporting consistency (2023-2024)","1"
"Burkina Faso","Data reporting & use","Was it published? If yes provide link","In progress"
"Burkina Faso","Data reporting & use","What was the estimated burden?","In progress"
"Burkina Faso","Data reporting & use","What year was it performed?","N/A"
"Burkina Faso","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","No"
"Burkina Faso","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","No response"
"Burkina Faso","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","No response"
"Burkina Faso","Vaccination","What are the recommended risk groups for influenza vaccine?","No response"
"Burkina Faso","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","No response"
"Burkina Faso","Pandemic preparedness and response","All Hazardzs","No response"
"Burkina Faso","Pandemic preparedness and response","COVID-19 specific","No response"
"Burkina Faso","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","No"
"Burkina Faso","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","No"
"Burkina Faso","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","Yes"
"Burkina Faso","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Burkina Faso","Pandemic preparedness and response","Influenza specific","No response"
"Burkina Faso","Pandemic preparedness and response","Year plan Last updated","2023"
"Burkina Faso","Pandemic preparedness and response","Year simulation conducted","N/A"
"Burkina Faso","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","Yes"
"Burkina Faso","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","Yes"
"Burkina Faso","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","Yes"
"Burkina Faso","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","In progress"
"Burkina Faso","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","Yes"
"Burkina Faso","Zoonotic Influenza surveillance","If yes, when","2022"
"Burundi","Population and Economy","Life expectancy","62"
"Burundi","Population and Economy","Population","13689450"
"Burundi","Population and Economy","Total Health Expenditure","9.1"
"Burundi","Mortality per 100 000 population","All cause/all ages","1183.7"
"Burundi","Mortality per 1000 live births","All cause/under 5 years","50.5"
"Burundi","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","No response"
"Burundi","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","No response"
"Burundi","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","No response"
"Burundi","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","No"
"Burundi","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","No response"
"Burundi","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","Yes"
"Burundi","Severe acute respiratory infection (SARI) surveillance","Number of SARI sentinel surveillance sites","No response"
"Burundi","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","No response"
"Burundi","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","No response"
"Burundi","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","No"
"Burundi","Virological surveillance","Antiviral susceptibility testing capability","No"
"Burundi","Virological surveillance","Does the country forward samples to a WHO CC?","No"
"Burundi","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","No"
"Burundi","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","No"
"Burundi","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Burundi","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Burundi","Virological surveillance","Does the country test for other respiratory viruses?","No response"
"Burundi","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","Yes"
"Burundi","Virological surveillance","RT-PCR","Yes"
"Burundi","Virological surveillance","Sequencing capacity","Yes"
"Burundi","Virological surveillance","Type of virological surveillance","N/A"
"Burundi","Virological surveillance","Virus Isolation capacity","No"
"Burundi","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","No"
"Burundi","Data reporting & use","Does the country report to the FluID?","No"
"Burundi","Data reporting & use","Does the country report to the FluNet?","No"
"Burundi","Data reporting & use","Has the country performed a burden of disease analysis?","No"
"Burundi","Data reporting & use","Reporting consistency (2023-2024)","No"
"Burundi","Data reporting & use","Use of PISA tool to assess the severity of seasonal influenza?","No"
"Burundi","Data reporting & use","Was it published? If yes provide link","No"
"Burundi","Data reporting & use","What was the estimated burden?","No"
"Burundi","Data reporting & use","What year was it performed?","No"
"Burundi","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","Yes"
"Burundi","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","Yes"
"Burundi","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","Yes"
"Burundi","Vaccination","What are the recommended risk groups for influenza vaccine?","Children under 5 years"
"Burundi","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","Southern Hemisphere"
"Burundi","Pandemic preparedness and response","All Hazardzs","No response"
"Burundi","Pandemic preparedness and response","COVID-19 specific","No response"
"Burundi","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","No response"
"Burundi","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","No"
"Burundi","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","No"
"Burundi","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Burundi","Pandemic preparedness and response","Influenza specific","No response"
"Burundi","Pandemic preparedness and response","Year plan Last updated","No response"
"Burundi","Pandemic preparedness and response","Year simulation conducted","No"
"Burundi","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","No"
"Burundi","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","No"
"Burundi","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","No"
"Burundi","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","No"
"Burundi","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","No"
"Burundi","Zoonotic Influenza surveillance","If yes, when","No"
"Cabo Verde","Population and Economy","Life expectancy","75"
"Cabo Verde","Population and Economy","Population","522331"
"Cabo Verde","Population and Economy","Total Health Expenditure","6.9"
"Cabo Verde","Mortality per 100 000 population","All cause/all ages","772.2"
"Cabo Verde","Mortality per 1000 live births","All cause/under 5 years","12.3"
"Cabo Verde","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","Yes"
"Cabo Verde","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","2"
"Cabo Verde","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","IDSR 3rd Edition"
"Cabo Verde","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","Sentinel"
"Cabo Verde","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","N/A"
"Cabo Verde","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","N/A"
"Cabo Verde","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","N/A"
